Nome EC,UF EC,Cidade EC,Logradouro EC,Desvio de Preço (%),Blacklist,Preço por Litro,Mercadoria
POSTO LUAR VIII,CE,ITAPIPOCA,"Área Rua Dom Aureliano Matos, 56","7,84%",✅ Dentro da média,6.70469460735231,Gasolina Comum
POSTO CARIOCA,CE,FORTALEZA,"Rua AV.  LUIZ  VIEIRA  835, S/N","7,77%",✅ Dentro da média,6.700415403682191,Gasolina Comum
POSTO GMC,RJ,CAMPOS DOS GOYTACAZES,"Rua RUA DOS GOYTACAZES N. 342, S","7,76%",✅ Dentro da média,6.7,Gasolina Comum
POSTO JOALINA,PE,PETROLINA,Rua R GOV ERALDO GUEIROS LEITE 7,"7,76%",✅ Dentro da média,6.7,Gasolina Comum
POSTO REIS MAGOS II,CE,FORTALEZA,"Rua AV WASHINGTON SOARES, S/N","7,76%",✅ Dentro da média,6.7,Gasolina Comum
POSTO AVENIDA BRASIL,CE,MUCAMBO,Área R ANGELO AZEVEDO 162 CENTRO,"7,76%",✅ Dentro da média,6.6999999999999975,Gasolina Comum
AUTO POSTO MONTECASEROS LTDA,RJ,PETROPOLIS,"Rua RUA MONTECASEROS, 165, S/N","7,75%",✅ Dentro da média,6.69928858425904,Gasolina Comum
POSTO MORADA NOVA 2,CE,MORADA NOVA,"Rua ROD CE 138 KM 64, S/N","7,70%",✅ Dentro da média,6.33,Diesel S10
AUTO POSTO 2000,MG,SANTA JULIANA,"Área RUA JOSE PEDRO BORGES, 570,","7,68%",✅ Dentro da média,4.64,Etanol
POSTO AMIGAO DE MURIAE,MG,MURIAE,"Rua RODOVIA  BR-116, S/N","7,68%",✅ Dentro da média,4.64,Etanol
POSTO DE COMBUSTIVEIS ADE,DF,BRASILIA,"Rua ADE CONJUNTO, 16, S/N","7,68%",✅ Dentro da média,4.64,Etanol
SILVEIRA PETROLEO LTDA,CE,FORTALEZA,Rua AV GENERAL OSORIO DE PAIVA 8,"7,66%",✅ Dentro da média,6.693748953974896,Gasolina Comum
LEAL III COMERCIO DE PETROLEO L,CE,FORTALEZA,"Rua ROD BR 116,5541, S/N","7,65%",✅ Dentro da média,6.692998661311915,Gasolina Comum
POSTO SIQUEIRA,CE,FORTALEZA,Rua AV. GEN OSORIO DE PAIVA 6800,"7,63%",✅ Dentro da média,6.691536110904077,Gasolina Comum
LEAL III COMERCIO DE P,CE,FORTALEZA,"Rua ROD BR 116,5541, S/N","7,62%",✅ Dentro da média,6.691347571063316,Gasolina Comum
POSTO CEARA 10,CE,EUSEBIO,"Rodovia BARAO DE AQUIRAZ CE, 040","7,62%",✅ Dentro da média,6.691225872689938,Gasolina Comum
LEAL IV COMERCIO DE PETROLEO LT,CE,FORTALEZA,"Rua ROD BR 116 11055, S/N","7,61%",✅ Dentro da média,6.690639974098858,Gasolina Comum
AUTO POSTO ESTYLLUS,RJ,MIGUEL PEREIRA,"Rua R MACHADO BITENCOURT 375, S/","7,61%",✅ Dentro da média,6.690383797199077,Gasolina Comum
AC TRANCOZO,RJ,NOVA FRIBURGO,"Rua AV. PRES COSTA E SILVA 11, S","7,61%",✅ Dentro da média,6.690266115427568,Gasolina Comum
TYRESOLES,SE,ARACAJU,"Área RODOVIA DOS NAUFRAGOS,, S/N","7,61%",✅ Dentro da média,6.690205375733488,Gasolina Comum
AUTO POSTO PINGO DE OU,BA,JUAZEIRO,"Rua AV RAUL ALVES SN POSTO, S/N","7,60%",✅ Dentro da média,6.690000000000001,Gasolina Comum
POSTO AMIGAO DE AVELAR,RJ,AVELAR,"Área Estrada RJ , 72932, S/N","7,60%",✅ Dentro da média,6.690000000000001,Gasolina Comum
POSTO CAMPEAO,TO,PALMAS,Rua R.  PERNAMBUCO  QD NE C 4 LO,"7,60%",✅ Dentro da média,6.690000000000001,Gasolina Comum
POSTO COLIBRI EMPREENDIMENTO DE,CE,IBIAPINA,"Área RUA MOISES ARAAO, S/N","7,60%",✅ Dentro da média,6.690000000000001,Gasolina Comum
POSTO FORTIM,CE,CAMPESTRE,"Área RODOVIA  CE 040 , 0, S/N","7,60%",✅ Dentro da média,6.690000000000001,Gasolina Comum
POSTO SENADOR,RN,NATAL,Rua AV CAPITAOMOR GOUVEIA 2232 C,"7,60%",✅ Dentro da média,6.690000000000001,Gasolina Comum
AUTO POSTO PATI,RJ,PATY DO ALFERES,"Praça VELHO DE AVELAR, 21","7,60%",✅ Dentro da média,6.69,Gasolina Comum
POSTO CAPIVARI-SHELL,RJ,PETROPOLIS,Rod Br 40 0,"7,60%",✅ Dentro da média,6.69,Gasolina Comum
POSTO COLUNA,CE,HORIZONTE,ROD BR 116 KM 35,"7,60%",✅ Dentro da média,6.69,Gasolina Comum
POSTO CONQUISTADOR,RJ,PETROPOLIS,"Rua EST UNIAO E INDUSTRIA 11325,","7,60%",✅ Dentro da média,6.69,Gasolina Comum
POSTO LIDER 2,RJ,CAMPOS DOS GOYTACAZES,Rua AV.  VINTE E OITO DE MARCO 4,"7,60%",✅ Dentro da média,6.69,Gasolina Comum
POSTO NOVA MAMANGUAPE,PB,MAMANGUAPE,Rua R INACIO DA COSTA FARIAS 830,"7,60%",✅ Dentro da média,6.69,Gasolina Comum
POSTO PODIUM,CE,FORTALEZA,AVENIDA  BEZERRA DE MENEZES,"7,60%",✅ Dentro da média,6.69,Gasolina Comum
POSTO REIS,PE,PETROLINA,"Rua AVENIDA ULISSES GUIMARAES, 1","7,60%",✅ Dentro da média,6.69,Gasolina Comum
POSTO SAO MIGUEL,CE,FORTALEZA,RUA DR THOMPSON BULCAO,"7,60%",✅ Dentro da média,6.69,Gasolina Comum
REDE RPB,SE,ARACAJU,"RODOVIA NAUFRAGOS, 9232","7,60%",✅ Dentro da média,6.69,Gasolina Comum
AUTO POSTO MAX,MA,IMPERATRIZ,"RUA LEONCIO PIRES DOURADO, 1463","7,60%",✅ Dentro da média,6.6899999999999995,Gasolina Comum
COMERCIAL RECAMONDE DERIVADOS D,CE,FORTALEZA,"Rua AV. DR THEBERGE 1620, S/N","7,60%",✅ Dentro da média,6.6899999999999995,Gasolina Comum
POSTO ESTACAO,BA,JUAZEIRO,"Rua R S PAULO 72, S/N","7,60%",✅ Dentro da média,6.6899999999999995,Gasolina Comum
POSTO IMPERIAL DE PETROPOLIS LT,RJ,PETROPOLIS,"Rua R.  BINGEN 1560, S/N","7,60%",✅ Dentro da média,6.6899999999999995,Gasolina Comum
POSTO SAO DOMINGOS,MA,SAO MATEUS DO MARANHAO,"Rua AV RODOVIARIA 1867, S/N","7,60%",✅ Dentro da média,6.6899999999999995,Gasolina Comum
POSTO SANTA AMALIA LTD,RJ,VASSOURAS,Rua AV SEBASTIAO MANOEL FURTADO,"7,60%",✅ Dentro da média,6.689999999999999,Gasolina Comum
POSTO MAURICIO,CE,TABULEIRO DO NORTE,"Rua R ANTONIO ALVES MAIA N. 69,","7,60%",✅ Dentro da média,6.6896526177148505,Gasolina Comum
POSTO CANOEIRO,MA,GRAJAU,"Rua ROD BR 226 KM 216, S/N","7,54%",✅ Dentro da média,6.68616074508451,Gasolina Comum
POSTO SAO MATEUS,CE,JUAZEIRO DO NORTE,Rua AV CORONEL HUMBERTO BEZERRA,"7,51%",✅ Dentro da média,6.684417967137316,Gasolina Comum
AUTO POSTO ALEX,CE,IGUATU,"Rua RUA JULIO CAVALCANTE, 50, S/","7,50%",✅ Dentro da média,6.39,Diesel
POSTO SANTO ANTONIO,PE,CARUARU,"Rua AVENIDA  ESTADOS, S/N","7,50%",✅ Dentro da média,6.39,Diesel
REDE RPB,SE,NOSSA SENHORA DO SOCORRO,"Área R 7, 588, S/N","7,48%",✅ Dentro da média,6.682243370902118,Gasolina Comum
REDE RPB,SE,ARACAJU,Área Avenida Empresario Jose Car,"7,45%",✅ Dentro da média,6.6803877278164805,Gasolina Comum
AUTO POSTO BREJO SANTO,CE,BREJO SANTO,"Avenida JOSE AMARO NETO, 264","7,44%",✅ Dentro da média,6.68,Gasolina Comum
Posto Niteroi,ES,PIUMA,"Área avenida carlos lindemberg,","7,44%",✅ Dentro da média,6.68,Gasolina Comum
LEO COMERCIO DE DERIVADOS DE PE,CE,FORTALEZA,"Rua AVENIDA CEL CARVALHO, S/N","7,35%",✅ Dentro da média,6.6743475343844345,Gasolina Comum
POSTO PIONEIRO,CE,MARACANAU,"Rua ROD.  ANEL VIARIO S/N, S/N","7,33%",✅ Dentro da média,6.673150507741613,Gasolina Comum
IGUEP INCORPORADORA GUEDES PEREI,PE,RECIFE,"Rua RUA BOM PASTOR, 27, S/N","7,32%",✅ Dentro da média,6.672661075104842,Gasolina Comum
POSTO B E M,CE,CAUCAIA,"Área AV ULISSES GUIMARAES 1881,","7,30%",✅ Dentro da média,6.671307066072956,Gasolina Comum
MSL COMERCIO COMBUS,RJ,CAMPOS DOS GOYTACAZES,Rua AVENIDA SETE DE SETEMBRO   2,"7,30%",✅ Dentro da média,6.671292940878062,Gasolina Comum
AUTO POSTO CALUNGA LTD,SP,SAO VICENTE,"Rua AV.  ANTONIO EMMERICK 1445,","7,28%",✅ Dentro da média,6.67,Gasolina Comum
D E D COMERCIO DE DERIVADOS DE P,CE,MARACANAU,"Rua RUA CRISTOVAO DE MELO 51, S/","7,28%",✅ Dentro da média,6.67,Gasolina Comum
POSTO PORTAL DE SUAPE,PE,CABO DE SANTO AGOSTINHO,"Rua ROD.  PE-60 KM 10, S/N","7,28%",✅ Dentro da média,6.67,Gasolina Comum
MOTO MERCANTIL CAMPISTA,RJ,CAMPOS DOS GOYTACAZES,"Rua AVENIDA DR ARTUR BERNARDES,","7,25%",✅ Dentro da média,6.668262946684503,Gasolina Comum
POSTO BEM TE VI,PI,PICOS,"Rua AVENIDA HELVIDIO NUNES, S/N","7,19%",✅ Dentro da média,6.3,Diesel S10
POSTO CEASA,CE,MARACANAU,Rua R MENDEL STREINBRUCH S/  KM4,"7,15%",✅ Dentro da média,6.662164967225055,Gasolina Comum
POSTO STATUS,CE,FORTALEZA,AVENIDA PRES COSTA E SILVA,"7,15%",✅ Dentro da média,6.661999276607289,Gasolina Comum
POSTO LIDER,RJ,CAMPOS DOS GOYTACAZES,Rua AV.  QUINZE DE NOVEMBRO 563/,"7,14%",✅ Dentro da média,6.6613415518491665,Gasolina Comum
AUTO POSTO DOIS IRMAOS,CE,NOVA OLINDA,"Rua SITO JACUZ CE 292 SN, S/N","7,09%",✅ Dentro da média,6.294014702089245,Diesel S10
POSTO ITAPERY,CE,FORTALEZA,"Rua AV. PRES COSTA E SILVA 2721,","7,03%",✅ Dentro da média,6.290643676581713,Diesel S10
POSTO 21,MG,BOA ESPERANCA,"Rua R GODOFREDO MOREIRA 120, S/N","7,02%",✅ Dentro da média,6.290000000000001,Diesel S10
POSTO NATUBA,BA,CICERO DANTAS,"Rua R MARIA DA BATISTA DOS SANT,","7,02%",✅ Dentro da média,6.290000000000001,Diesel S10
CENTER POSTO,CE,SOBRAL,Rua AV. DR ARIMATEIA M E SILVA 4,"7,02%",✅ Dentro da média,6.29,Diesel S10
POSTO BATATEIRAS,CE,CRATO,Rua AV JOAQUIM P BEZERRA MENEZES,"7,02%",✅ Dentro da média,6.29,Diesel S10
POSTO CACIQUE 23,PI,TERESINA,"Área RODOVIA BR 343 SN, S/N","7,02%",✅ Dentro da média,6.29,Diesel S10
POSTO DOIS IRMAOS,PI,PIRACURUCA,"Rua AV.AURELIO BRITO 605, S/N","7,02%",✅ Dentro da média,6.29,Diesel S10
POSTO INDEPENDENCIA,CE,CRATO,"Rua PC JOAO BRIGIDO 1450, S/N","7,02%",✅ Dentro da média,6.29,Diesel S10
POSTO LITORAL,CE,CASCAVEL,"Rua ROD CE 40 KM 47,2, S/N","7,02%",✅ Dentro da média,6.29,Diesel S10
POSTO PAGUE MENOS,CE,ANTONINA DO NORTE,"Rua AV NELITO MENDES, S/N","7,02%",✅ Dentro da média,6.289999999999999,Diesel S10
AUTO POSTO PIRAJA,PI,CANTO DO BURITI,"Rua AV GETULIO VARGAS 780, S/N","6,96%",✅ Dentro da média,6.65,Gasolina Comum
POSTO PRETOLINE,DF,BRASILIA,"Rua Q QI 1, 79","6,94%",✅ Dentro da média,4.608206675466716,Etanol
POSTO PACATUBA,CE,PACATUBA,"Rua AVENIDA MENDEL STEINBRUCH, S","6,92%",✅ Dentro da média,6.647904374213603,Gasolina Comum
JACARE AUTO POSTO LTDA,MG,SAO SEBASTIAO DO PARAISO,"Rua AV OLIVEIRA REZENDE 1016, S/","6,91%",✅ Dentro da média,5.88,Diesel S50
AUTOPOSTO AGUA BRANCA,PI,AGUA BRANCA,"Avenida JOSE MIGUEL, 1557","6,85%",✅ Dentro da média,6.279999999999999,Diesel S10
REDE RPB,SE,SAO CRISTOVAO,Área RUA JOSE CONRADO DE ARAUJO,"6,84%",✅ Dentro da média,6.6427863143280685,Gasolina Comum
POSTO SOUTO BAHIA II,RJ,RIO DAS OSTRAS,Rua ROD AMARAL PEIXOTO KM 150 SN,"6,82%",✅ Dentro da média,6.349999999999999,Diesel
POSTO BOA VIAGEM,SE,NOSSA SENHORA DO SOCORRO,"Rodovia BR 101/3, S/N","6,82%",✅ Dentro da média,6.6413120176405736,Gasolina Comum
PARADA CERTA COM DE COMBUSTIVEIS,PE,RECIFE,"Área ROD BR, S/N","6,81%",✅ Dentro da média,6.640942299709423,Gasolina Comum
POSTOS DISBRAVA,TO,PALMAS,"Rua 106 NORTE ALAMEDA 17 SN, S/N","6,81%",✅ Dentro da média,6.640763358778625,Gasolina Comum
POSTO SAO CRISTOVAO,CE,ITAPIPOCA,Rua AV ANASTACIO BRAGA 4445 RODC,"6,80%",✅ Dentro da média,6.64,Gasolina Comum
POSTO 3 D ANTA,RJ,ANTA,"Rua ROD BR 393 KM 37, S/N","6,80%",✅ Dentro da média,6.63992375142966,Gasolina Comum
POSTO ATLANTICO,ES,VITORIA,"Rua AV.DANTE MICHELINE 4655, S/N","6,80%",✅ Dentro da média,6.6398352214212135,Gasolina Comum
P.CACIQUE 15,PI,TERESINA,"Avenida MARANHAO, 3399","6,78%",✅ Dentro da média,6.347336268574574,Diesel
POSTO IPOJUCA,PE,IPOJUCA,"Rua ROV PE, 60","6,70%",✅ Dentro da média,6.6340156135642845,Gasolina Comum
POSTO SOUSA,PI,BARRO DURO,"Rua AV CEL B DA LUZ 418, S/N","6,67%",✅ Dentro da média,6.269551342439945,Diesel S10
COMERCIO DE COMBUSTIVEIS PETROSO,MA,BALSAS,"Rua AV GOVERNADOR LUIZ ROCHA, 30","6,60%",✅ Dentro da média,6.627898994568359,Gasolina Comum
POSTO SAO FRANCISCO,CE,QUIXADA,"Rua R RODRIGUES JR  947, S/N","6,59%",✅ Dentro da média,6.626862364198866,Gasolina Comum
POSTO GIPAGEL II,PB,PATOS,"Rua CARREIROS, 3","6,54%",✅ Dentro da média,6.261973405061373,Diesel S10
AUTO POSTO DELTA PAQUETA,SP,PRAIA GRANDE,Rua AV. DR ROBERTO DE ALMEIDA 11,"6,52%",✅ Dentro da média,4.590000000000001,Etanol
AUTOPOSTO DELTA PRAIA,SP,PRAIA GRANDE,Rua AV DR ROBERTO DE A VINHAS 39,"6,52%",✅ Dentro da média,4.590000000000001,Etanol
ILHA BELA POSTO DE SERVICOS,SP,ILHABELA,"Rua AV PRCA ISABEL 2727, S/N","6,52%",✅ Dentro da média,4.590000000000001,Etanol
A POSTO NOVOS TEMPOS,SP,PRAIA GRANDE,"Rua AV. PRES KENNEDY 6450, S/N","6,52%",✅ Dentro da média,4.59,Etanol
AUTO POSTO SANTA GIANNA LTDA,SP,FRANCA,"Avenida CHICO JULIO, 2701","6,52%",✅ Dentro da média,4.59,Etanol
POSTO 3D JAMAPARA,RJ,JAMAPARA,"Rua AV  COTRIL, S/N","6,52%",✅ Dentro da média,4.59,Etanol
POSTO ALPA 11,MG,ARAXA,"Avenida WILSON BORGES, 875","6,52%",✅ Dentro da média,4.59,Etanol
POSTO CRUZEIRO,SP,FRANCA,"Rua AV PRES VARGAS 624, S/N","6,52%",✅ Dentro da média,4.59,Etanol
POSTO DE SERVICO S S LTDA,SP,SAO PAULO,"Rua R.  ARTUR DE AZEVEDO 696, S/","6,52%",✅ Dentro da média,4.59,Etanol
POSTO DE SERVICOS,SP,SAO PAULO,"Rua R BIXIRA 234, S/N","6,52%",✅ Dentro da média,4.59,Etanol
POSTO MARIO ROBERTO,SP,FRANCA,Rua AV. DR ANTONIO BARBOSA FILHO,"6,52%",✅ Dentro da média,4.59,Etanol
POSTO RETA DA PRAIA,ES,VILA VELHA,"Rua AV STA LEOPOLDINA 1650, S/N","6,52%",✅ Dentro da média,4.59,Etanol
POSTO SHOPPING MOGI LTDA,SP,MOGI DAS CRUZES,Rua AVENIDA VER NARCISO YAGUE GU,"6,52%",✅ Dentro da média,4.59,Etanol
POSTOS ALPA-SHELL,MG,ARAXA,"Rua AV MINISTRO OLAVO DRUOM 500,","6,52%",✅ Dentro da média,4.59,Etanol
AUTO POSTO DORNELAS,MG,MURIAE,"Rua PC DORNELAS 85, S/N","6,52%",✅ Dentro da média,4.589999999999999,Etanol
AUTO POSTO XIXOVA,SP,PRAIA GRANDE,AVENIDA AYRTON SENNA DA SIL 500,"6,52%",✅ Dentro da média,4.589999999999999,Etanol
POSTO DIVISA POSTO DIVI,RJ,JAMAPARA,"Rua R PAULINO FERNANDES 21 D, S/","6,52%",✅ Dentro da média,4.589999999999999,Etanol
POSTO LIMA,CE,TAMBORIL,"Rua R FRANKLIN CAVALCANTE 1007,","6,48%",✅ Dentro da média,6.620000000000001,Gasolina Comum
POSTO 3D,MG,ALEM PARAIBA,Área R CORONEL CASTELO BRANCO 16,"6,48%",✅ Dentro da média,6.62,Gasolina Comum
PORTAL TUDE BASTOS,SP,PRAIA GRANDE,"Rua AV.  TRABALHADOR 907, S/N","6,45%",✅ Dentro da média,4.587100188704087,Etanol
ALESAT POSTO MARANATA,MA,BURITICUPU,"Rua ESTR BR 222 KM 160  851, S/N","6,40%",✅ Dentro da média,6.6155376972530675,Gasolina Comum
LEAL COMERCIO DE PETROLEO LTDA,CE,FORTALEZA,"Rua AVENIDA PRES COSTA E SILVA,","6,40%",✅ Dentro da média,6.615412216759903,Gasolina Comum
POSEIDON AUTO POSTO LTDA,SP,MONGAGUA,"Rua AV TIRADENTES 6797, S/N","6,36%",✅ Dentro da média,4.583136697741126,Etanol
POSTO DOIS IRMAOS,CE,BARBALHA,"Rua AV COSTA CAVALCANTI 1075, S/","6,34%",✅ Dentro da média,6.250000000000001,Diesel S10
POSTO APM,PE,PAULISTA,"Rua AV SEN SALGADO FILHO 18, S/N","6,32%",✅ Dentro da média,6.609999999999999,Gasolina Comum
RECANTO OIL AUTO POSTO,DF,BRASILIA,"Rua QUADRA    LOTE 1 304, S/N","6,28%",✅ Dentro da média,4.58,Etanol
POSTO MARIO ROBERTO JANJAO,SP,FRANCA,"Avenida DOUTOR HELIO PALERMO, 38","6,27%",✅ Dentro da média,4.579292416941415,Etanol
POSTO  SAO DOMINGOS MO,CE,FORTALEZA,Rua AVENIDA  OLIVEIRA PAIVA 1414,"6,23%",✅ Dentro da média,6.604597022813353,Gasolina Comum
AUTO POSTO CIDADAO LTDA,SP,FRANCA,"Avenida BRASIL, 2300","6,22%",✅ Dentro da média,4.577096024235021,Etanol
POSTO CAMARADA,CE,MARACANAU,Área ROD SENADOR ALMIR PINTO CE,"6,19%",✅ Dentro da média,6.602518038852914,Gasolina Comum
COMERCIO DE COMBUSTIVEIS PETROSO,MA,BALSAS,"Rua AV DR JOSE BERNARDINO, 130,","6,19%",✅ Dentro da média,6.602321389154591,Gasolina Comum
POSTO IMBOASSICA COMERCIO E SER,RJ,MACAE,"Rua ROD AMARAL PEIXOTO KM 164,7,","6,18%",✅ Dentro da média,6.601887921241953,Gasolina Comum
BELO PETRO,PE,BELO JARDIM,RODOVIA BR232 185,"6,17%",✅ Dentro da média,6.24,Diesel S10
POSTO SERRANO,SE,ARACAJU,Área AV CHANCELER OSVALDO ARANHA,"6,16%",✅ Dentro da média,6.600465917564476,Gasolina Comum
AUTO POSTO SERRANO,RN,PATU,Rua R MARIA HENRIQUE GODEIRO DA,"6,15%",✅ Dentro da média,6.6,Gasolina Comum
POSTO MAIS BALSAS LTDA,MA,BALSAS,"Rodovia ROD RODOVIA BR, NA","6,15%",✅ Dentro da média,6.6,Gasolina Comum
POSTO SORRISO,SE,CAPELA,"Rua ROD BR 101, KM 36, S/N","6,15%",✅ Dentro da média,6.6,Gasolina Comum
TRUCK CENTER,CE,PECEM,"Área RODOVIA CE 155, 0000, S/N","6,15%",✅ Dentro da média,6.6,Gasolina Comum
POSTO PADRE CICERO,CE,TRAIRI,"Rua AV SEN VIRGILIO TAVORA, S/N","6,09%",✅ Dentro da média,6.596137655657824,Gasolina Comum
POSTO CEMOPEL 3,PE,OLINDA,"Rua AV DR JOAQUIM NABUCO 1600, S","6,07%",✅ Dentro da média,6.595022511255627,Gasolina Comum
TRAVESSIA FULL SERVICE,SP,FRANCA,"Rua AV REYNALDO CHIOCA 2000, S/N","6,05%",✅ Dentro da média,4.57,Etanol
POSTO PAINEIRAO,SP,FRANCA,"Rua R BENEDITO MERLINO 930, S/N","6,05%",✅ Dentro da média,4.569999999999999,Etanol
POSTO SANTA MARIA,MA,BOM JESUS DAS SELVAS,"Rua BR 222 KM 100, S/N","6,02%",✅ Dentro da média,6.591480179529833,Gasolina Comum
POSTO CANCELA-SHELL,RJ,MACAE,"Rua EST DA CANCELA PRETA,60, S/N","6,01%",✅ Dentro da média,6.591097455985537,Gasolina Comum
QS COMBUSTIVEIS,CE,EUSEBIO,"Avenida EUSEBIO DE QUEIROZ, 2651","6,00%",✅ Dentro da média,6.590301059477604,Gasolina Comum
AUTO POSTO BASTOS,CE,ICO,"Área PADRE JOSE ALVES DE MACEDO,","5,99%",✅ Dentro da média,6.590000000000001,Gasolina Comum
AUTO POSTO M VIRGEM,SP,RIBEIRAO PIRES,"Rua AV FRANCISCO MONTEIRO 1396,","5,99%",✅ Dentro da média,6.590000000000001,Gasolina Comum
D F SOUZA FILHO LTDA,RJ,SAPUCAIA,"Rua R RAFAEL LANGONI 105, S/N","5,99%",✅ Dentro da média,6.590000000000001,Gasolina Comum
FACIL COMERCIO DE COMBUSTIVEIS,CE,QUIXADA,"Avenida PLACIDO CASTELO, 1519","5,99%",✅ Dentro da média,6.590000000000001,Gasolina Comum
POSTO XALE,RJ,BARRA DO PIRAI,"Rua ROD LUCIO MEIRA BR 393, S/N","5,99%",✅ Dentro da média,6.590000000000001,Gasolina Comum
AUTO POSTO ALDEIA DA PRAIA LTDA,ES,GUARAPARI,"Rua AVENIDA PARIS, 00, S/N","5,99%",✅ Dentro da média,6.59,Gasolina Comum
POSTO ANCHIETA,ES,ANCHIETA,"Rua ROD SOL 19755, S/N","5,99%",✅ Dentro da média,6.59,Gasolina Comum
POSTO BEIRA RIO,CE,CRATEUS,"Rua AV SRG HERMINIO 500, S/N","5,99%",✅ Dentro da média,6.59,Gasolina Comum
POSTO LIDER 5,RJ,CAMPOS DOS GOYTACAZES,"Rua AV MARIO MANHAES DE ANDRADE,","5,99%",✅ Dentro da média,6.59,Gasolina Comum
POSTO RODOVIARIA,ES,VITORIA,"Avenida NAIR AZEVEDO SILVA, 430","5,99%",✅ Dentro da média,6.59,Gasolina Comum
POSTO SAO CRISTOVAM,RN,MACAIBA,"Rua AT DO FERREIRO PORTO SN, S/N","5,99%",✅ Dentro da média,6.59,Gasolina Comum
POSTO SAO CRISTOVAO,MA,BALSAS,"Rua ROD BR 230 SN, S/N","5,99%",✅ Dentro da média,6.59,Gasolina Comum
SHOP CAR 5,MA,IMPERATRIZ,"Rua AVENIDA DORGIVAL PINHEIRO ,","5,99%",✅ Dentro da média,6.59,Gasolina Comum
POSTO SAO DOMINGOS SINHA SABOIA,CE,SOBRAL,Rua AV. SEN FERNANDES TAVORA 133,"5,99%",✅ Dentro da média,6.589999999999999,Gasolina Comum
COM.VAREJ.OUTROS COMBUSTI.LUBRIF,RJ,MACAE,Rua AV. PREFEITO ARISTEU FERREIR,"5,99%",✅ Dentro da média,6.589641354881557,Gasolina Comum
POSTO CENTRAL DE CORDEIRO LTDA,RJ,CORDEIRO,"Rua R. CEL. JOSE OLIMPIO CARVAL,","5,98%",✅ Dentro da média,6.589448915959685,Gasolina Comum
POSTO WALTAR,RJ,CORDEIRO,"Rua R WALTER FERREIRA TARDIN 65,","5,98%",✅ Dentro da média,6.589116883116882,Gasolina Comum
POSTO PIRAMIDE,RJ,MIRACEMA,Rua R JOAO PESSOA 196 PROX MARCE,"5,98%",✅ Dentro da média,6.588893422714466,Gasolina Comum
REDE CEARA OUTLET,CE,CAUCAIA,"Área ROD. BR 020, KM 14,5, 6354,","5,95%",✅ Dentro da média,6.587432831970797,Gasolina Comum
POSTO ITAPERY,CE,FORTALEZA,"Rua AV. PRES COSTA E SILVA 2721,","5,88%",✅ Dentro da média,6.293772763262075,Diesel
POSTO PRADO,RJ,NOVA FRIBURGO,"Área AVENIDA GOV ROBERTO SILVEI,","5,87%",✅ Dentro da média,6.582064198983236,Gasolina Comum
POSTO ARMACAO DE BUZIOS,RJ,ARMACAO DOS BUZIOS,Rua AVENIDA JOSE B RIBEIRO DANTA,"5,85%",✅ Dentro da média,6.581350293542076,Gasolina Comum
POSTO ITAPERY,CE,FORTALEZA,"Rua AV. PRES COSTA E SILVA 2721,","5,84%",✅ Dentro da média,6.580686355843151,Gasolina Comum
POSTO CJCM,PE,RECIFE,"Rua ERNESTO DE PAULA SANTOS, 525","5,83%",✅ Dentro da média,6.58,Gasolina Comum
AUTO POSTO UNAMAR,RJ,CABO FRIO,"Rua RODOVIA AMARAL PEIXOTO  SN,","5,82%",✅ Dentro da média,6.29,Diesel
POSTO CAMPO VERDE,SP,MAUA,"Avenida BARAO DE MAUA, 2204","5,82%",✅ Dentro da média,6.289999999999999,Diesel
POSTO MONSENHOR TABOSA,CE,FORTALEZA,"Rua AV MONSENHOR TABOSA, S/N","5,72%",✅ Dentro da média,6.57297526262284,Gasolina Comum
STYLLUS,RJ,PATY DO ALFERES,Área AV OSORIO DUQUE ESTRADA 583,"5,69%",✅ Dentro da média,6.571103744974963,Gasolina Comum
AUTO POSTO DOIS IRMAOS,CE,NOVA OLINDA,"Rua SITO JACUZ CE 292 SN, S/N","5,68%",✅ Dentro da média,6.28172807424594,Diesel
POSTO SERVICAR 2,PE,OLINDA,"Rua AV OLINDA 150, S/N","5,67%",✅ Dentro da média,6.570000000000001,Gasolina Comum
POSTO NOVO BUZIOS,RJ,ARMACAO DOS BUZIOS,"Rua R. JOSE BENTO R DANTAS 5587,","5,67%",✅ Dentro da média,6.57,Gasolina Comum
POSTO RASA,RJ,ARMACAO DOS BUZIOS,Área AV JOSE BENTO RIBEIRO DANTA,"5,67%",✅ Dentro da média,6.57,Gasolina Comum
POSTO SERVCAR,PE,RECIFE,"Rua AV MANOEL BORBA 410, S/N","5,67%",✅ Dentro da média,6.569999999999999,Gasolina Comum
POSTO PORTAL DA ILHA,SP,ILHABELA,"Rua AV PRINCESA ISABEL, S/N","5,67%",✅ Dentro da média,4.553559593800107,Etanol
POSTO VIANENSE,MA,VIANA,"Rodovia MA 014/3, S/N","5,67%",✅ Dentro da média,6.569655675899494,Gasolina Comum
POSTO GIPAGEL II,PB,PATOS,"Rua CARREIROS, 3","5,67%",✅ Dentro da média,6.281133898851069,Diesel
AUTOPOSTO AGUA BRANCA,PI,AGUA BRANCA,"Avenida JOSE MIGUEL, 1557","5,65%",✅ Dentro da média,6.28,Diesel
POSTO BOAVENTURA,CE,FORTALEZA,"Rua AV.  GODOFREDO MACIEL, 6060,","5,61%",✅ Dentro da média,6.566361264674822,Gasolina Comum
